Date	demanda_diaria
2021-07-30	850535286.28
2021-07-31	826943582.4
2021-08-01	750548011.28
2021-08-02	823641265.1999999
2021-08-03	827755230.28
2021-08-04	837953373.2
2021-08-05	856355560.2
2021-08-06	855926986.84
2021-08-07	789494620.56
2021-08-08	745066073.6
2021-08-09	848157817.4399999
2021-08-10	855058282.28
2021-08-11	853683934.76
2021-08-12	851966647.72
2021-08-13	851331118.6
2021-08-14	810094036.1999999
2021-08-15	721704656.68
2021-08-16	740781318.1600001
2021-08-17	818856719.24
2021-08-18	836230994.88
2021-08-19	839793240.04
2021-08-20	833144230.76
2021-08-21	807759670.28
2021-08-22	743693835.76
2021-08-23	844978686.04
2021-08-24	835530646.8
2021-08-25	830867624.92
2021-08-26	834744341.4399999
2021-08-27	844424439.24
2021-08-28	821112604.2
2021-08-29	752075558.8399999
2021-08-30	807938779.6
2021-08-31	805979708.4
2021-09-01	826268451.52
2021-09-02	859245040.88
2021-09-03	875395041.68
2021-09-04	817712194.92
2021-09-05	737051665.72
2021-09-06	821549028.8
2021-09-07	831163282.72
2021-09-08	850065924.04
2021-09-09	864779808.04
2021-09-10	872816987.1600001
2021-09-11	812394161.92
2021-09-12	742851726.12
2021-09-13	834382546.92
2021-09-14	851996646.76
2021-09-15	856887703.28
2021-09-16	854584924.0
2021-09-17	877912918.56
2021-09-18	841809552.52
2021-09-19	755650466.48
2021-09-20	858645587.68
2021-09-21	868710159.36
2021-09-22	857993530.2
2021-09-23	851139972.08
2021-09-24	858396496.6
2021-09-25	836521174.6
2021-09-26	769524179.84
2021-09-27	873067279.88
2021-09-28	861156689.0799999
2021-09-29	856704967.6
2021-09-30	839254641.8
2021-10-01	843092070.72
2021-10-02	825391825.0
2021-10-03	759823296.64
2021-10-04	859909788.88
2021-10-05	860634493.0
2021-10-06	862427271.0799999
2021-10-07	878169582.24
2021-10-08	875974340.8
2021-10-09	832274829.0
2021-10-10	759002534.88
2021-10-11	844405343.04
2021-10-12	865497305.0
2021-10-13	856936240.28
2021-10-14	870092153.52
2021-10-15	873303793.16
2021-10-16	814707308.6
2021-10-17	735901703.76
2021-10-18	759051248.0400001
2021-10-19	852931131.88
2021-10-20	860057497.16
2021-10-21	860666431.04
2021-10-22	862337995.3199999
2021-10-23	834388317.28
2021-10-24	761399153.52
2021-10-25	854601462.76
2021-10-26	863533046.28
2021-10-27	860797963.6
2021-10-28	868041485.08
2021-10-29	838949113.84
2021-10-30	805657110.48
2021-10-31	725474058.44
2021-11-01	730397476.08
2021-11-02	830805176.0799999
2021-11-03	846643983.6800001
2021-11-04	849037211.8399999
2021-11-05	869841592.72
2021-11-06	842836264.96
2021-11-07	776052060.4399999
2021-11-08	860342694.68
2021-11-09	867400787.12
2021-11-10	860899051.84
2021-11-11	869066939.4
2021-11-12	871131577.24
2021-11-13	832628434.36
2021-11-14	758335706.5600001
2021-11-15	772527649.0
2021-11-16	866824131.52
2021-11-17	873396436.28
2021-11-18	874077024.56
2021-11-19	874903952.16
2021-11-20	841169307.76
2021-11-21	762061425.24
2021-11-22	853349401.84
2021-11-23	846825089.24
2021-11-24	847680672.28
2021-11-25	843768625.44
2021-11-26	840092514.88
2021-11-27	808386109.68
2021-11-28	754299121.36
2021-11-29	844747156.04
2021-11-30	856039395.4
2021-12-01	853678523.36
2021-12-02	861099362.24
2021-12-03	871390284.5600001
2021-12-04	837772652.96
2021-12-05	771083934.8
2021-12-06	862628568.52
2021-12-07	860847798.8
2021-12-08	789529427.1999999
2021-12-09	865007447.76
2021-12-10	864704335.5600001
2021-12-11	821399294.6
2021-12-12	754674412.04
2021-12-13	833702806.24
2021-12-14	850548119.96
2021-12-15	862427372.44
2021-12-16	872277819.96
2021-12-17	862069388.52
2021-12-18	825017112.84
2021-12-19	760928004.9200001
2021-12-20	854384874.72
2021-12-21	859548756.6
2021-12-22	859353865.36
2021-12-23	847957182.9599999
2021-12-24	784634255.12
2021-12-25	698821838.8
2021-12-26	733180712.16
2021-12-27	831241639.0799999
2021-12-28	833508029.2
2021-12-29	824589731.12
2021-12-30	810132721.8
2021-12-31	741805321.12
2022-01-01	657723650.0
2022-01-02	692435404.04
2022-01-03	781223190.84
2022-01-04	805037502.72
2022-01-05	810504845.0799999
2022-01-06	814485407.96
2022-01-07	817288139.48
2022-01-08	794663127.8
2022-01-09	728433380.12
2022-01-10	734418459.0
2022-01-11	806415798.96
2022-01-12	823880858.2
2022-01-13	830112094.52
2022-01-14	831016537.48
2022-01-15	799185995.88
2022-01-16	744774951.24
2022-01-17	834232843.96
2022-01-18	847649789.8000001
2022-01-19	852797577.28
2022-01-20	859794050.88
2022-01-21	868164714.84
2022-01-22	827589669.36
2022-01-23	755430044.72
2022-01-24	848557981.6
2022-01-25	855451654.4399999
2022-01-26	856594634.36
2022-01-27	859837671.64
2022-01-28	861118826.72
2022-01-29	819042309.52
